OBJECTID,ADM1,ADM2
1,East,Bugesera
2,East,Gatsibo
3,East,Kayonza
4,East,Kibungo
5,East,Kirehe
6,East,Nyagatare
7,East,Rwamagana
8,Kigali,Butamwa
9,Kigali,Kicukiro
10,Kigali,Kigali
11,North,Burera
12,North,Byumba
13,North,Gakenke
14,North,Ruhengeri
15,North,Rulindo
16,South,Butare
17,South,Gatagara
18,South,Gikongoro
19,South,Gisagara
20,South,Gitarama
21,South,Kamonyi
22,South,Nyanza
23,South,Nyaruguru
24,West,Cyangugu
25,West,Cyangugu
26,West,Cyangugu
27,West,Cyangugu
28,West,Gasiza
29,West,Gisenyi
30,West,Kibuye
31,West,Nogororero
32,West,Nyamasheke
33,West,Nyamasheke
34,West,Nyamasheke
35,West,Nyamasheke
36,West,Rutsiro
37,West,Rutsiro
38,West,Rutsiro
39,Lake,Lake
