Year,Value,Observation status,Unit multiplier,Unit measure
2008,8.5,Normal value,Units,Percentage (%)
2009,8.0,Normal value,Units,Percentage (%)
2010,7.4,Normal value,Units,Percentage (%)
2011,6.9,Normal value,Units,Percentage (%)
2012,8.6,Normal value,Units,Percentage (%)
2013,7.8,Normal value,Units,Percentage (%)
2014,6.5,Normal value,Units,Percentage (%)
2015,7.3,Normal value,Units,Percentage (%)
2016,9.4,Normal value,Units,Percentage (%)
2017,7.8,Normal value,Units,Percentage (%)
2018,8.6,Normal value,Units,Percentage (%)
