Year,Flow of Official Development Assistance (ODA),Observation status,Unit multiplier,Unit measure,Value
2009,Bilateral,Undefined,Thousands,GBP (£),160291.48
2010,Bilateral,Undefined,Thousands,GBP (£),165969.27042099994
2011,Bilateral,Undefined,Thousands,GBP (£),209016.488383
2012,Bilateral,Undefined,Thousands,GBP (£),242893.298955
2013,Bilateral,Undefined,Thousands,GBP (£),261434.32825000008
2014,Bilateral,Undefined,Thousands,GBP (£),256415.39129500007
2015,Bilateral,Undefined,Thousands,GBP (£),355763.7823940001
2016,Bilateral,Undefined,Thousands,GBP (£),309352.5331700001
2017,Bilateral,Undefined,Thousands,GBP (£),325307.61805083015
2010,Multilateral,Undefined,Thousands,GBP (£),213907.58041013012
2011,Multilateral,Undefined,Thousands,GBP (£),253542.80846653547
2012,Multilateral,Undefined,Thousands,GBP (£),158221.25333482708
2013,Multilateral,Undefined,Thousands,GBP (£),261785.74582403596
2014,Multilateral,Undefined,Thousands,GBP (£),327933.43013462366
2015,Multilateral,Undefined,Thousands,GBP (£),248258.32706892863
2016,Multilateral,Undefined,Thousands,GBP (£),343963.0873720694
2017,Multilateral,Undefined,Thousands,GBP (£),300972.91048683424
2010,,Undefined,Thousands,GBP (£),379876.85083113005
2011,,Undefined,Thousands,GBP (£),462559.2968495354
2012,,Undefined,Thousands,GBP (£),401114.552289827
2013,,Undefined,Thousands,GBP (£),523220.074074036
2014,,Undefined,Thousands,GBP (£),584348.8214296238
2015,,Undefined,Thousands,GBP (£),604022.1094629287
2016,,Undefined,Thousands,GBP (£),653315.6205420695
2017,,Undefined,Thousands,GBP (£),626280.5285376643
